Edge in MST: [1, 0] with weight: 2
Edge in MST: [3, 4] with weight: 3
Edge in MST: [0, 2] with weight: 1
Edge in MST: [9, 12] with weight: 1
Edge in MST: [5, 11] with weight: 1
Edge in MST: [4, 11] with weight: 2
Edge in MST: [13, 1] with weight: 4
Edge in MST: [14, 5] with weight: 3
Edge in MST: [9, 0] with weight: 4
Edge in MST: [7, 1] with weight: 3
Edge in MST: [10, 4] with weight: 5
Edge in MST: [6, 2] with weight: 1
Edge in MST: [11, 7] with weight: 1
Edge in MST: [8, 6] with weight: 2
Total weight of the MST is: 33
